㧻破	敲破
一流	一流
一生	一生
一日	一天
一冬	一年
一任	一任
一回	一回
一米	一公尺
一流	一流
一格	一格
一歲	一歲
一擺	一次
三尺	約一公尺的長度
三成	百分之三十
三思	三思
三樓	三樓
上車	上車
上桌	把食物或其他東西端上桌
上水	從井裡頭用水桶把水打上來
上好	最好
上北	北上,多指縱貫線火車上行
上殕	發霉
上等	上等
上網	上網
上灘	離開急流
下班	下班
下令	宣布命令
下集	下集
下晡	下午
下願	許願
不孝	不孝
不如	不如
不孝	不孝
不服	不服
丑時	凌晨一點到三點
世交	兩代以上的交誼
世事	世事
丙等	丙等
並列	並列
並無	並沒有
中央	中間
中學	中學
中毒	中毒
中午	中午
中共	中共
中計	中計
中晝	中午
中學	中學
中醫	中醫
中藥	中藥
串通	串通
串仔	過奏、間奏
丹紅	赤色
乖巧	乖巧
乖僻	乖張偏執
乙等	乙等
乾坤	天地
乾造	男方的八字
乾造	男命
亂彈	胡扯
了解	了解
了力	白費力氣
了解	了解
事先	事先
事業	事業
事變	事變
二姆	二伯母
五穀	五穀
五官	五官
五金	五金
亡國	亡國
亡兄	亡兄
亡魂	死者的靈魂
交付	交付
交陪	人之間的往來
交陪	交往
交談	交談
亥時	晚上九點至十一點
人類	人類
人情	人情
人民	人民
人材	人材
人品	人的品格
人間	人間
仁者	仁者
今才	剛才
仕途	仕途
仙境	仙境
仝款	同樣
代誌	事情
代表	代表
令尊	令尊
令郎	令郎
令堂	令堂
任用	任用
任職	任職
仿仔	仿製的、非原產的
休息	休息
休學	休學
伨重	在擔子輕的一邊增加重量,使擔子兩頭重量平均
估計	估計
伸手	伸手
伸冤	伸冤
佈陣	佈陣
佈陣	佈陣
低路	罵人沒用、程度差
住宅	住宅
何人	何人
何必	何必
佛教	佛教
佛教	佛教
佛教	佛教
作曲	作曲
作戰	作戰
作品	作品
佬仔	騙子
佮意	喜歡
使用	使用
來往	來往
依據	依據
便服	便服
俗語	俗語
保留	保留
信心	信心
修路	修路
修行	學道或是修習佛法
修面	修面
俺爸	爸爸
倒水	倒水
倒爿	左邊
倒去	回去
倒吊	倒懸
倒退	倒退
借字	借據
值班	值班
做兵	當兵
做詩	寫詩
做賊	當賊
做壽	做生日
停留	停留
偷拈	偷偷取物
偷食	偷吃
傑作	傑作
傱錢	為籌錢而奔忙
傳種	一代代接續生存下去
傳染	傳染
傳話	傳話
債券	債券
傷鹹	太鹹
僥塗	翻動土壤
價數	價錢
儉錢	存錢
元氣	元氣
元素	元素
兄哥	哥哥
兄嫂	兄嫂
充足	充足
先夫	先夫
光線	光線
光面	光滑的相片,相對於布面
光榮	光榮
克苦	克苦
克服	克服
兌換	兌換
兌現	實現
入去	進去
入被	把被子裝進被套裡
入木	入殮.將屍體移入棺材
入境	進入國境
內公	祖父
內容	內容
內人	對他人稱自己的妻子
內政	內政
內行	內行
內裡	內裡
全部	全部
兩岸	兩岸
兩萬	兩萬
公子	稱人子
公的	公的
公海	公海
公所	處理某一地區公共事務的場所
公務	公務
公堂	公堂
公款	公款
公館	公館
共同	共同
兵卒	兵卒
兵符	兵符
冇柴	質地鬆軟的木柴
冊皮	封面
冊店	書店
冊房	書房
再世	再世
冒險	冒險
冤仇	仇恨
冬天	冬天
冰角	冰塊
冰糖	冰糖
冰水	冰水
冰凍	結冰
冷水	冷水
冷靜	冷靜
凍舌	舌頭受到刺激而感覺麻麻的
凍露	放在屋外承受露水
凝血	瘀血
凡事	無論什麼事情
凡間	凡間
凶兆	不祥的預兆
凶年	飢荒之年
凶歲	凶年
出丁	生男孩子
出日	出太陽
出世	出生
出泉	泉水湧出
出國	出國
出界	出界
出錢	出錢
出氣	出氣
出名	出名
出帆	開船
出身	身分來歷
出泉	湧出泉水
出席	出席
出痲	長麻疹
出穗	長出穗來
出癖	出麻疹
出題	出題
刀肉	刀刃
刀柄	刀柄
刀銎	刀背
刀鋩	刀刃
刀鞘	刀鞘
分配	分配
分類	分類
刊物	刊物
划船	划船
列入	列入
初一	初一
初級	初級
初版	初版
刣人	殺人
判罪	判罪
別位	另外的地方
別稱	別稱
利水	利尿
制服	制服
刺酸	過多而會引起胃痛的胃酸
刻字	刻字
剃頭	剪頭髮
前兆	前兆
前驛	前站
剝箬	剝除竹筍的外殼
副業	主業之外附帶經營的其他職業
割貨	批貨
剷草	鋤草
剺紙	撕紙
劇情	劇情
力量	力量
功勞	功勞
功效	功效
功勞	功勞
功課	功課
加工	加工
加倍	加倍
劫數	劫數
勇敢	勇敢
勇敢	勇敢
動武	動武
動物	動物
動工	開始工程
動箸	用筷子
勞工	勞工
勞動	勞動
勞工	勞工
募款	募款
勸世	勸世
包公	宋代有名的清官
包機	包機
匏仔	匏瓜
匏桸	葫蘆瓢
化痰	化除痰液
北爿	北邊
北向	北向
區別	區別
十誡	指猶太教、基督教的十種戒約
千歲	千歲
升天	升天
午時	上午十一點到下午一點
午時	午時
半數	半數
半途	半途
半隻	半隻
半路	半路
卑鄙	卑鄙
南下	往南部去
南方	南方
博士	博士
卜卦	卜卦
占位	占據位子
卯時	早上五點至七點
卯時	卯時
危急	危急
卵殼	蛋殼
卸任	解除職務
卸貨	卸貨
厚酒	酒精成份含量高的酒
厝內	家裡
厝瓦	屋瓦
原本	原本
原因	原因
原底	原來
原稿	原稿
參見	參見
反色	變顏色
反對	反對
反車	翻車
反供	翻供
受害	受害
口白	臺詞
口訣	口訣
古板	古板
叨錢	纏著要錢
叩頭	磕頭
只有	只有
叫車	叫車
可以	可以
可見	可見
可能	可能
各位	各位
合計	合計
合理	合理
合約	合約
合法	合法
合約	雙方同意所簽定的契約
合格	合格
合軀	合身
吉兆	吉兆
吊衫	吊衣服
吊銷	吊銷
吊銷	吊銷
吊橋	吊橋
同時	同時
同意	同意
同庚	年紀相同
同窗	同窗
名片	名片
名稱	名稱
名牌	名牌
名利	名利
名聲	名聲
吐舌	吐舌頭
吐目	暴眼、突眼
吐穗	吐穗
向腰	彎下腰來
向北	向北
向東	向東
吞瀾	嚥口水
吞忍	忍耐
吟詩	吟詩
含脣	上嘴脣含住下嘴脣
告示	告示
告病	請病假
周全	周全
呸痰	吐痰
呼吸	呼吸
呼音	呼音
命題	出題目
命案	命案
和局	平手
咒罵	咒罵
咒誓	發誓
咒誓	發誓
咒讖	詛咒
咯痰	從喉嚨中咳出痰來
品行	品行
哭呻	哭叫
哽胿	哽住食道
唱歌	唱歌
商家	商家
啉泔	喝米湯
啉水	喝水
啉醋	喝醋
啟奏	啟奏
喙舌	舌頭
喙焦	口渴
喙罨	口罩
喙䫌	臉頰
喝拳	划酒拳、猜拳
嘔紅	吐血
噓尿	吹口哨引小孩尿出來
噗薰	抽菸
器官	器官
囚禁	囚禁
四季	四季
四配	相稱
囝甘	疼惜兒女
回頭	回頭
回國	回國
回手	回手
回批	回信
回絕	回絕
因由	事情的緣起與由來
因為	因為
囡仔	小孩子
國王	國王
國貨	國貨
圍牆	圍牆
圓規	圓規
團圓	團圓
土地	土地
土匪	土匪
在野	在野
地方	地方
地方	地方
地位	地位
地段	某一土地的區域
地區	地區
地毯	地毯
地磚	地磚
圳溝	溝渠
坉平	填平
坉錢	投入本錢
坎仔	小階梯
坐車	坐車
坐罪	服刑
坐胎	受孕
坐監	坐牢
坐禪	坐禪
坦橫	打橫
埠頭	港埠
埤仔	小水池
培墓	掃墓
堂親	堂親
堅疕	傷口凝結成疤
堡壘	堡壘
報告	報告
報社	報社
報表	報表
報恩	報恩
報答	報答
報數	銷帳
塌本	賠本
塗烌	灰塵
塗堆	土堆
塗沙	泥沙
塗州	黃泉
塗窯	土窯
塗糜	泥漿
塞鼻	鼻塞
墓穴	墓穴
墨汁	墨汁
壁堵	牆壁
壅肥	施肥
壽衣	壽衣
夏季	夏季
外口	外頭
外國	外國
外表	外表
多謝	多謝
多事	多事
夜色	夜色
夜班	夜班
夢中	夢中
大官	公公
大量	大量
大伯	大伯父
大月	大月
大兄	大哥
大衣	大衣
大伯	大伯
大劫	大災禍
大灶	大灶
大肚	大肚子
大姊	大姊
大姑	大姑
大房	長房
大便	大便
大炮	大炮
大海	大海
大將	大將
大鼎	大鍋
大腿	大腿
大樓	大樓
大盤	第一手的批發商
大頭	大頭
天干	甲乙丙丁戊己庚辛壬癸十天干
天井	中庭
天公	老天爺
天河	天河
天神	天神
天災	天災
天頂	天上
天地	天地
天命	上天安排好的宿命
天性	天生的本性
天星	星星
天頂	天上
天邊	天邊
太陰	月亮
夫君	夫君
夫君	丈夫
夫婦	夫婦
夯貨	抬貨
失業	丟掉工作
失約	失約
失血	失血
失眠	失眠
失守	失守
失言	失言
失陪	失陪
失敗	失敗
失算	失算
失誤	失誤
失德	道德虧損
奇巧	奇巧
奉命	接受尊長或上級的命令
奏本	奏本
奏樂	演奏音樂
奏章	奏章
契爸	乾爹
女權	女權
女子	女子
奴才	奴才
奶仔	乳房
奸巧	奸巧
奸巧	狡猾
奸臣	奸臣
好人	好人
好做	容易做
好奇	好奇
好空	好處
如同	如同
如意	如意
妗仔	弟媳
妙計	巧妙的計策
妻舅	妻舅
妾身	妾身
姑表	姑表
姦撟	罵人
姨仔	妻子的姊妹
姨母	姨母
姨婆	姨婆
娘嬭	母親
婚禮	婚禮
婚禮	婚禮
婦女	婦女
婦女	婦女
媌母	老鴇
媠氣	完美的狀態
嫁粧	嫁妝
嫂仔	嫂子
子弟	子弟
子時	晚上十一點至第二天凌晨一點
字帖	字帖
字體	字體
存款	存款
存款	存款
孝孤	祭祀孤魂野鬼
孩童	孩童
學生	學生
學者	學者
學派	學派
學科	學科
學校	學校
學仔	學校
守寡	守寡
守時	守時
安打	安打
安搭	安置、安撫
安靈	安置靈位
宋朝	宋朝
宋版	宋朝版本的書籍
完稅	繳納稅金
完全	完全
完美	完美
完整	完整
完糧	繳完田稅
官府	官府
定貨	定貨
定罪	定罪
定奪	定奪
客戶	客戶
客廳	客廳
宣佈	宣佈
家父	家父
家事	家務事
家族	家族
家眷	家眷
家境	家境
容允	允許
寄批	寄信
寄託	寄託
寅時	凌晨三點至五點
密告	密告
寒帶	寒帶
寡婦	寡婦
實施	實施
實腹	實心的
審判	審判
審問	審問
審美	審美
寫字	寫字
寫字	寫字
寫真	照相
封肉	燜燒肉
射箭	射箭
射箭	射箭
將才	將才
將來	將來
專權	專權
專心	專心
對聯	對聯
小寒	二十四節氣之一,冬至過後十五天,因天候寒冷所以有這個名稱.
小女	自己的女兒
小湧	小浪
小可	稍微、一點點
小丑	小丑
小生	小生
小弟	小弟
小妹	小妹
小雪	小雪
小嬸	小嬸
少年	少年
少婦	少婦
尖喙	尖嘴
尖臍	雄蟹腹部的尖甲殼
就任	上任
尼姑	尼姑
尿緊	尿急
局部	局部
局勢	局勢
屎桮	早期沒有衛生紙時用來清潔肛門的工具
展覽	展覽
屘叔	小叔叔
山園	旱田
山水	山水
山洞	山洞
山陵	山脊
山勢	山勢
山溝	山溝
山窟	山穴
山腰	山腰
山跤	山下
山雺	山上的霧氣
山寨	山寨
山歌	山歌
山嶺	山嶺
岩石	岩石
崁印	蓋章
崁跤	斷崖之下
工程	工程
工場	工廠
工尺	工尺
工具	工具
工業	工業
工寮	工寮
工頭	工頭
差用	差遣
巳時	上午九點到十一點
市草	指商業市場上的交易狀況
布尺	布尺
布莊	布莊
布袋	布袋
布景	布景
布頭	小碎布
布篷	帆布篷子
帕塗	拿布包著土
帝王	帝王
帶病	患病
帶路	帶路
帶領	帶領
帽仔	帽子
幌頭	搖頭
干戈	盾和矛,原指兵器,後多引申為戰爭.
干涉	干涉
干犯	冒犯、侵犯
平凡	平常、不出色
平仄	平仄
平手	平手
平安	平安
年兜	年底、靠近過年的時候
年節	春節前後的數日,或指年中的節日
年頭	年頭
年關	年關
幹道	主要道路
幼骨	骨架小
庄社	村莊
底價	底價
店號	店名
度日	度日
度量	度量
廕火	熄火
廟公	廟公
廢除	廢除
廢水	廢水
廣大	廣大
延伸	延伸
弄龍	舞龍
弓箭	弓箭
引導	引導
引起	引起
弟子	弟子
張良	張良
彈琴	彈琴
形勢	形勢
形容	形容
形成	形成
形影	形影
形體	形體
彩券	一種賭博性的投機票券,中獎者發給獎金.
影帝	影帝
影像	影像
彼站	那陣子
往時	昔日、從前
往事	往事
往回	去回
後叔	繼父
後來	後來
後面	後面
後進	後棟房子
後過	下一次
徒弟	徒弟
徛館	建館
徛股	分立股份
徛頭	居首位的人
心臟	心臟
心胸	心胸
忍耐	忍耐
忍耐	忍耐
志氣	志氣
快車	快車
快樂	快樂
念經	念經
念珠	一種佛教法器.佛教徒在念佛、誦經、持咒時用來計數的圈串.
急性	性情急躁
性病	由性交所引起的傳染病
怨嘆	怨嘆
恥笑	恥笑
恩情	恩情
恬靜	寂靜
恬靜	寂靜
情郎	情郎
情形	情形
情理	情理
情義	情義
惡報	惡報
意義	意義
愛耍	愛玩
愛情	愛情
感心	令人感動
感著	感冒了
慢板	慢板
慰留	慰留
憂愁	憂愁
憲法	憲法
應驗	應驗
懸低	高低
懸山	高山
戇神	發呆的樣子
戌時	晚上七點至九點
成做	成為
成功	成功
戮鑽	鑽子
戰輸	打敗仗
戲弄	戲弄
戲班	以表演戲劇為目的所組成的團體
戲棚	搭建而成的戲臺
戲籠	戲班所用的箱籠
所有	所有
所得	所得
手毛	手毛
手目	手關節
手印	手印
手足	手和腳.引申指兄弟姊妹等親人.
手法	手法
手捗	手掌、手模
手禁	手剎車
手銬	手銬
手蹄	手心
手環	手環
手彎	手肘窩
才調	本事、能力
才幹	才幹
扒飯	扒飯
扒癢	搔癢
扛板	抬棺材
扞家	持家
扣除	扣除
扣押	扣押
扶靈	護送棺材
批示	批示
批評	批評
批發	批發
批信	信件
批囊	信封
承受	承受
技工	技工
抄寫	抄寫
投水	跳水自殺
投降	投降
折價	折價
披衫	晾衣服
抱歉	抱歉
抹銷	塗銷
押日	在文件上加寫日期
