㔂	lân
㤉	gê
㧌	mau
㧎	khê
㧒	hiat
㧣	tu
㧻	tok
㨂	tàng
㨑	tsang
㨨	liû
㨻	tsānn
㴘	bāu
㽎	sìm
㾀	khiap
䀐	siam
䆀	bái
䖙	the
䖳	thē
䘼	ńg
䠡	tshê
䫌	phué
一	tsi̍t
一	it
丁	ting
七	tshit
丈	tn̄g
三	sam
三	sann
上	tsiūnn
上	tshiūnn
上	siōng
下	ē
下	hā
下	hē
不	put
丑	thiú
世	sè
世	sì
丙	piánn
並	pīng
並	phīng
个	ê
中	tìng
中	tiong
中	tiòng
串	tshǹg
串	tshuàn
丸	uân
丹	tan
主	tsú
丼	tôm
久	kú
么	io
之	tsi
乍	tsànn
乎	--honnh
乏	ha̍t
乖	kuai
乙	it
九	káu
九	kiú
乞	khit
也	iā
乾	kuann
乾	kan
乾	khiân
亂	luān
了	liáu
予	hōo
事	sū
二	jī
五	gōo
五	ngóo
井	tsénn
亡	bông
交	ka
交	kau
交	kiau
亥	hāi
亦	i̍k
亭	tîng
人	jîn
人	lâng
仁	jîn
仁	lîn
仄	tseh
仆	phak
仇	siû
今	tann
仔	á
仕	sū
付	hù
仙	sian
仙	sián
仝	kāng
代	tāi
代	tē
令	līng
以	í
件	kiānn
任	jīm
任	līm
份	hūn
仿	hóng
伊	i
伐	hua̍h
休	hiu
伨	thīn
伯	peh
估	kóo
伴	phuānn
伸	tshun
伸	sin
伻	phenn
佇	tī
佈	pòo
位	uī
低	kē
何	hô
佗	tó
佗	toh
佛	Hu̍t
佛	Pu̍t
作	tsoh
作	tsok
你	lí
佬	láu
佮	kah
佮	kap
佯	tènn
使	sái
使	sú
來	lâi
例	lē
供	king
供	kìng
侵	tshim
侹	thiānn
便	piān
促	tshik
俏	tshio
俗	sio̍k
保	pó
信	sìn
修	siu
俺	án
倉	tshng
個	kò
倌	kuann
倍	puē
倒	tò
倒	tó
倖	sīng
倚	uá
借	tsioh
倩	tshiànn
倯	sông
值	ta̍t
值	ti̍t
偃	ián
假	ké
假	ká
偌	guā
偏	phian
偏	phinn
做	tsò
做	tsuè
停	thîng
偝	āinn
偷	thau
傍	pn̄g
傘	suànn
催	tshui
傱	tsông
傳	thuân
傳	thn̂g
債	tsè
傷	siong
傷	siunn
像	tshiūnn
像	siōng
僥	hiau
僫	oh
價	kè
億	ik
儉	khiām
儑	gām
允	ín
允	ún
兄	hiann
兆	tiāu
先	sian
先	sing
光	kng
光	kong
克	khik
兌	tuē
兌	tuī
免	bián
兔	thòo
兜	tau
入	ji̍p
入	li̍p
內	lāi
內	luē
全	tsuân
兩	lióng
兩	niú
兩	nn̄g
八	pat
八	peh
公	kang
公	kong
六	la̍k
六	lio̍k
共	kā
共	kāng
共	kiōng
兵	ping
其	kî
具	khū
典	tián
兼	kiam
冇	phànn
冊	tsheh
再	tsài
冗	līng
冗	liōng
冠	kuan
冤	uan
冬	tang
冰	ping
冷	líng
准	tsún
凊	tshìn
凍	tàng
凍	tòng
凝	gîng
凡	huân
凡	huān
凶	hiong
凹	nah
出	tshut
刀	to
刁	tiau
分	hun
分	pun
切	tshiat
刊	khan
刐	táinn
刑	hîng
划	kò
列	lia̍t
刜	phut
初	tshe
初	tshoo
刣	thâi
判	phuànn
別	pa̍t
別	pia̍t
利	lāi
刮	kueh
刮	khe
到	kàu
制	tsè
券	kǹg
券	kuàn
刺	tshì
刺	tshiah
刻	khik
剁	tok
剃	thì
剉	tshò
削	siah
剋	khik
前	tsiân
前	tsîng
剔	thak
剝	pak
剪	tsián
副	hù
割	kuah
創	tshong
創	tshòng
剷	thuánn
剺	lì
剺	le̍h
剾	khau
剿	tsâu
劃	ue̍h
劇	kio̍k
劌	kuì
劍	kiàm
力	la̍t
力	li̍k
功	kong
加	ka
加	ke
助	tsōo
劫	kiap
勇	ióng
勍	khiang
勒	li̍k
動	tāng
動	tōng
務	bū
勞	lô
募	bōo
勢	sè
勢	sì
勥	khiàng
勸	khǹg
勸	khuàn
勻	ûn
勼	kiu
勾	kau
包	pau
匏	pû
化	hua
化	huà
北	pak
匙	sî
匠	tshiūnn
匪	huí
匯	huē
匹	phit
匼	khap
匾	pián
區	khu
十	tsa̍p
十	si̍p
千	tshian
千	tshing
升	tsin
升	sing
午	gōo
午	ngóo
半	puàn
半	puànn
卌	siap
卒	tsut
南	lâm
博	phok
卜	poh
卜	pok
占	tsiàm
卡	khah
卡	kha̍h
卦	kuà
卯	báu
卯	mauh
印	ìn
卵	nn̄g
卷	kńg
卷	kuàn
卸	sià
卻	khiok
厄	eh
